;Unnamed: 0;Participant;List;type;alter;geschlecht;händigkeit;aufgewachsen;wohnhaft_2020;weietere_MS;AMLaP;Part_Sex;Trial;Item;Time;Subexperiment;Condition;Verb;presumed_bias;NP1gender;NP2_gender;verbclass;Connective;prompt;cont;Analysierbar;Anzahl_Ana;Wortstellung;Koref_erste_ama;bias;congruency;Form;personalpronomen;Einbettung;stelle_1;kasusidentisch;anapher_folgt_unmittelbar_auf_konnektor;peronalpronomen_folgt_unmittelbar_auf_konnektor;filter_$;Zufallsreihenfolge;UrsprünglicheReihenfolge;filter_mit_gefallen;NP1;NP2
948;948;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;36;7;1,56041E+12;2;weil_es_mf;schätzen;object;m; f;es; weil;Oliver schätzte Lena, weil;sie immer pünktlich war.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;2036;854;Selected;Oliver;Lena
949;949;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;49;7;1,56041E+13;2;sodass_se_fm;überraschen;object;f; m;se; sodass;Lena überraschte Oliver, sodass;er sie nun mit ganz anderen Augen sah.;sinnvoll;zwei;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;2028;859;Selected;Lena;Oliver
950;950;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;4;8;1,56041E+13;2;weil_es_fm;mögen;object;f; m;es; weil;Jennifer mochte Tobias, weil;er einfach lustig war.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1695;843;Selected;Jennifer;Tobias
951;951;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;107;9;1,56041E+13;2;sodass_es_fm;hassen;subject;f; m;es; sodass;Annemarie hasste Malte, sodass;sie ihn mobbte.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1900;875;Selected;Annemarie;Malte
952;952;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;73;10;1,56041E+13;2;weil_se_fm;beeindrucken;subject;f; m;se; weil;Adele beeindruckte Robin, weil;sie sich nichts sagen ließ.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1161;869;Selected;Adele;Robin
953;953;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;65;11;1,56041E+13;2;weil_es_mf;bewundern;object;m; f;es; weil;Armin bewunderte Anna, weil;sie trotz ihrer Krankheit das Leben in vollen Zügeb genießen konnte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;803;866;Selected;Armin;Anna
954;954;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;1;11;1,56041E+13;2;sodass_se_fm;begeistern;object;f; m;se; sodass;Anna begeisterte Armin, sodass;er freiwillig vom Zehn-Meter-Turm sprang.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1569;842;Selected;Anna;Armin
955;955;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;110;12;1,56041E+13;2;weil_es_fm;lieben;object;f; m;es; weil;Emma liebte Fritz, weil;er so liebenswürdig war.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1746;876;Selected;Emma;Fritz
956;956;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;67;12;1,56041E+13;2;sodass_se_mf;amüsieren;object;m; f;se; sodass;Fritz amüsierte Emma, sodass;sie noch eine Stunde länger blieb;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1836;867;Selected;Fritz;Emma
957;957;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;60;13;1,56041E+13;2;weil_se_mf;langweilen;subject;m; f;se; weil;Jacob langweilte Melanie, weil;er ein langweiliger Mensch war, der nur über sich selbst redete.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;ja;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1018;864;Selected;Jacob;Melanie
958;958;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;22;13;1,56041E+13;2;sodass_es_fm;bemitleiden;subject;f; m;es; sodass;Melanie bemitleidete Jacob, sodass;sie versuchte, ihn durch einen Kuchen aufzumuntern.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;ja;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;984;847;Selected;Melanie;Jacob
959;959;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;63;14;1,56041E+13;2;weil_se_fm;verblüffen;subject;f; m;se; weil;Janina verblüffte Yannick, weil;sie immer solch kreativen Ideen hatte.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1351;865;Selected;Janina;Yannick
960;960;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;26;14;1,56041E+13;2;sodass_es_mf;anhimmeln;subject;m; f;es; sodass;Yannick himmelte Janina an, sodass;er anfing sich peinlich zu benehmen, wenn sie ihn anschaute.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;ja;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;233;849;Selected;Yannick;Janina
961;961;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;98;15;1,56041E+13;2;weil_es_mf;fürchten;object;m; f;es; weil;Rüdiger fürchtete Katharina, weil;sie so selbstbewusst war.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;934;872;Selected;Rüdiger;Katharina
962;962;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;105;15;1,56041E+13;2;sodass_se_fm;ängstigen;object;f; m;se; sodass;Katharina ängstigte Rüdiger, sodass;er seiner Mutter davon erzählte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;344;874;Selected;Katharina;Rüdiger
963;963;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;104;17;1,56041E+13;2;weil_se_mf;irritieren;subject;m; f;se; weil;Felix irritierte Marike, weil;er sich so seltsam benahm.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;917;873;Selected;Felix;Marike
964;964;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;37;17;1,56041E+13;2;sodass_es_fm;vermissen;subject;f; m;es; sodass;Marike vermisste Felix, sodass;sie beschloss, ihn in Australien zu besuchen.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;ja;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;367;855;Selected;Marike;Felix
965;965;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;42;18;1,56041E+13;2;weil_se_fm;erstaunen;subject;f; m;se; weil;Marie erstaunte Klaus, weil;sie sich schon alleine die Schuhe zubinden konnte.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;2004;857;Selected;Marie;Klaus
966;966;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;39;18;1,56041E+13;2;sodass_es_mf;ekeln sich vor;subject;m; f;es; sodass;Klaus ekelte sich vor Marie, sodass;er Abstand von ihr hielt.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;158;856;Selected;Klaus;Marie
967;967;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;54;19;1,56041E+13;2;weil_es_mf;sorgen sich um;object;m; f;es; weil;Alexander sorgte sich um Alisa, weil;sie schon seit einer Woche fehlte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1498;860;Selected;Alexander;Alisa
968;968;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;111;20;1,56041E+13;2;weil_es_fm;bedauern;object;f; m;es; weil;Aisha bedauerte Albert, weil;er starkes Heimweh hatte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1287;877;Selected;Aisha;Albert
969;969;209;2;Experiment;19;female;rechts;79395;72076;keine;nein;female;89;20;1,56041E+13;2;sodass_se_mf;erschrecken;object;m; f;se; sodass;Albert erschreckte Aisha, sodass;sie ihm in seine Weichteile getreten hatte.;sinnvoll;zwei;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1774;871;Selected;Albert;Aisha
970;970;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;25;1;1,56042E+13;2;weil_se_mf;schockieren;subject;m; f;se; weil;Lars schockierte Johanna, weil;er sonst so einen auf Macho machte.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1871;891;Selected;Lars;Johanna
971;971;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;35;1;1,56042E+12;2;sodass_es_fm;verachten;subject;f; m;es; sodass;Johanna verachtete Lars, sodass;sie keine Gelegenheit ausließ, ihn zu ärgern.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;ja;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1274;896;Selected;Johanna;Lars
972;972;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;17;2;1,56041E+13;2;weil_se_fm;faszinieren;subject;f; m;se; weil;Anastasia faszinierte Patrick, weil;sie ihre blonden Haare so elegant über die Schulter warf.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1961;888;Selected;Anastasia;Patrick
973;973;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;111;2;1,56042E+13;2;sodass_es_mf;verehren;subject;m; f;es; sodass;Patrick verehrte Anastasia, sodass;er ihr jeden Tag Blumen kaufte.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1572;917;Selected;Patrick;Anastasia
974;974;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;9;3;1,56041E+13;2;weil_es_mf;verabscheuen;object;m; f;es; weil;Michael verabscheute Simone, weil;er ihre Schokolade gegessen hatte.;sinnvoll;zwei;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1721;885;Selected;Michael;Simone
975;975;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;33;3;1,56042E+13;2;sodass_se_fm;enttäuschen;object;f; m;se; sodass;Simone enttäuschte Michael, sodass;er aus Rache ihre schönen Kleider zerschnitt.;sinnvoll;zwei;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1980;895;Selected;Simone;Michael
976;976;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;67;4;1,56042E+13;2;weil_es_fm;respektieren;object;f; m;es; weil;Saskia respektierte Kevin, weil;er ihr einmal geholfen hatte, das war aber auch alles!;sinnvoll;zwei;so;NP2;Objekt;kongruent;pers;1;ja;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;562;903;Selected;Saskia;Kevin
977;977;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;36;4;1,56042E+13;2;sodass_se_mf;inspirieren;object;m; f;se; sodass;Kevin inspirierte Saskia, sodass;sie sich einen Zeichenblock schnappte und zu malen begann.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;ja;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1602;897;Selected;Kevin;Saskia
978;978;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;103;5;1,56042E+13;2;weil_se_mf;bezaubern;subject;m; f;se; weil;Tim bezauberte Martha, weil;er wirklich wie der Prinz aus dem Märchen war.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1512;914;Selected;Tim;Martha
979;979;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;78;5;1,56042E+13;2;sodass_es_fm;vergöttern;subject;f; m;es; sodass;Martha vergötterte Tim, sodass;sie die anderen Jungs nicht einmal ansah.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1119;910;Selected;Martha;Tim
980;980;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;69;6;1,56042E+13;2;sodass_es_mf;misstrauen;subject;m; f;es; sodass;Daniel misstraute Jana, sodass;er ihr nicht von den geheimen Treffen erzählte.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;55;905;Selected;Daniel;Jana
981;981;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;73;7;1,56042E+13;2;weil_es_mf;schätzen;object;m; f;es; weil;Oliver schätzte Lena, weil;sie zu seinen engsten Freunden zählte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1092;908;Selected;Oliver;Lena
982;982;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;27;7;1,56042E+13;2;sodass_se_fm;überraschen;object;f; m;se; sodass;Lena überraschte Oliver, sodass;er sich entschuldigte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1895;893;Selected;Lena;Oliver
983;983;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;117;9;1,56042E+13;2;sodass_es_fm;hassen;subject;f; m;es; sodass;Annemarie hasste Malte, sodass;sie alles tat, um ihm das Leben zur Hölle zu machen.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;ja;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;670;920;Selected;Annemarie;Malte
984;984;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;44;10;1,56042E+13;2;weil_se_fm;beeindrucken;subject;f; m;se; weil;Adele beeindruckte Robin, weil;sie die beste Messerwerferin war.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;194;900;Selected;Adele;Robin
985;985;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;15;10;1,56041E+13;2;sodass_es_mf;achten;subject;m; f;es; sodass;Robin achtete Adele, sodass;er sich immer höflich benahm.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1050;887;Selected;Robin;Adele
986;986;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;109;11;1,56042E+13;2;weil_es_mf;bewundern;object;m; f;es; weil;Armin bewunderte Anna, weil;sie ohne zu zögern Tristan die Meinung gesagt hatte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1362;915;Selected;Armin;Anna
987;987;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;26;11;1,56042E+13;2;sodass_se_fm;begeistern;object;f; m;se; sodass;Anna begeisterte Armin, sodass;er sie in die Luft hob und sie lachend im Kreis wirbelte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;286;892;Selected;Anna;Armin
988;988;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;119;12;1,56042E+12;2;sodass_se_mf;amüsieren;object;m; f;se; sodass;Fritz amüsierte Emma, sodass;sie sich ein Lächeln verkneifen musste.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;444;921;Selected;Fritz;Emma
989;989;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;114;13;1,56042E+13;2;weil_se_mf;langweilen;subject;m; f;se; weil;Jacob langweilte Melanie, weil;er die ganze Zeit nur von seinen Dinosauriern erzählte.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1;919;Selected;Jacob;Melanie
990;990;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;82;15;1,56042E+12;2;weil_es_mf;fürchten;object;m; f;es; weil;Rüdiger fürchtete Katharina, weil;sie sich als skrupellose Gangsterin erwiesen hatte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;703;911;Selected;Rüdiger;Katharina
991;991;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;2;16;1,56041E+13;2;sodass_se_mf;entzücken;object;m; f;se; sodass;Dennis entzückte Stefanie, sodass;sie ihm um den Hals fiel.;sinnvoll;zwei;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1459;883;Selected;Dennis;Stefanie
992;992;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;32;17;1,56042E+13;2;sodass_es_fm;vermissen;subject;f; m;es; sodass;Marike vermisste Felix, sodass;sie ihm eines Tages einfach eine Karte schrieb.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;264;894;Selected;Marike;Felix
993;993;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;55;18;1,56042E+13;2;weil_se_fm;erstaunen;subject;f; m;se; weil;Marie erstaunte Klaus, weil;sie so anders war als die anderen Mädchen.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;699;902;Selected;Marie;Klaus
994;994;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;52;18;1,56042E+13;2;sodass_es_mf;ekeln sich vor;subject;m; f;es; sodass;Klaus ekelte sich vor Marie, sodass;er sich von ihr fernhielt.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1981;901;Selected;Klaus;Marie
995;995;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;70;19;1,56042E+13;2;weil_es_mf;sorgen sich um;object;m; f;es; weil;Alexander sorgte sich um Alisa, weil;sie ihre Eltern verloren hatte.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;981;906;Selected;Alexander;Alisa
996;996;210;2;Experiment;26;female;links;71083;71083;keine;nein;female;76;20;1,56042E+13;2;sodass_se_mf;erschrecken;object;m; f;se; sodass;Albert erschreckte Aisha, sodass;sie die Teller fallen ließ.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;331;909;Selected;Albert;Aisha
997;997;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;74;1;1,56046E+13;2;weil_se_mf;schockieren;subject;m; f;se; weil;Lars schockierte Johanna, weil;er ohne Brille Auto fuhr.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1972;946;Selected;Lars;Johanna
998;998;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;10;2;1,56046E+12;2;weil_se_fm;faszinieren;subject;f; m;se; weil;Anastasia faszinierte Patrick, weil;sie anders war.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1115;924;Selected;Anastasia;Patrick
999;999;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;117;2;1,56046E+13;2;sodass_es_mf;verehren;subject;m; f;es; sodass;Patrick verehrte Anastasia, sodass;er ihr täglich Blumen brachte.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1804;961;Selected;Patrick;Anastasia
1000;1000;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;48;3;1,56046E+13;2;weil_es_mf;verabscheuen;object;m; f;es; weil;Michael verabscheute Simone, weil;sie asozial ist.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1229;939;Selected;Michael;Simone
1001;1001;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;32;3;1,56046E+13;2;sodass_se_fm;enttäuschen;object;f; m;se; sodass;Simone enttäuschte Michael, sodass;er ihre Beziehung beendete.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;979;934;Selected;Simone;Michael
1002;1002;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;75;4;1,56046E+12;2;weil_es_fm;respektieren;object;f; m;es; weil;Saskia respektierte Kevin, weil;er trotz seines Verhaltens ein Mensch mit Herz und Seele ist.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;457;947;Selected;Saskia;Kevin
1003;1003;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;42;4;1,56046E+12;2;sodass_se_mf;inspirieren;object;m; f;se; sodass;Kevin inspirierte Saskia, sodass;sie ebenfalls mit dem Wandern anfing.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1987;937;Selected;Kevin;Saskia
1004;1004;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;35;5;1,56046E+13;2;weil_se_mf;bezaubern;subject;m; f;se; weil;Tim bezauberte Martha, weil;er das ehrlichste Lächeln hat.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1616;935;Selected;Tim;Martha
1005;1005;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;113;5;1,56046E+13;2;sodass_es_fm;vergöttern;subject;f; m;es; sodass;Martha vergötterte Tim, sodass;Sie sein gesicht als handyhintergrund hat;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1566;960;Selected;Martha;Tim
1006;1006;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;13;6;1,56046E+13;2;weil_se_fm;verwirren;subject;f; m;se; weil;Jana verwirrte Daniel, weil;sie nicht gut erklären kann.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;891;925;Selected;Jana;Daniel
1007;1007;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;58;6;1,56046E+13;2;sodass_es_mf;misstrauen;subject;m; f;es; sodass;Daniel misstraute Jana, sodass;Er sie nicht mehr um einen Gefallen fragte.;sinnvoll;zwei;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;771;942;Selected;Daniel;Jana
1008;1008;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;104;7;1,56046E+13;2;weil_es_mf;schätzen;object;m; f;es; weil;Oliver schätzte Lena, weil;sie eine sehr ehrliche Person ist.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;839;957;Selected;Oliver;Lena
1009;1009;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;98;7;1,56046E+13;2;sodass_se_fm;überraschen;object;f; m;se; sodass;Lena überraschte Oliver, sodass;er sein Aktenkoffer fallen lies.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1777;955;Selected;Lena;Oliver
1010;1010;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;106;8;1,56046E+12;2;weil_es_fm;mögen;object;f; m;es; weil;Jennifer mochte Tobias, weil;er hübsch ist.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;2081;958;Selected;Jennifer;Tobias
1011;1011;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;43;11;1,56046E+13;2;weil_es_mf;bewundern;object;m; f;es; weil;Armin bewunderte Anna, weil;sie immer sehr gute Leistungen abliefert.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;1103;938;Selected;Armin;Anna
1012;1012;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;90;11;1,56046E+13;2;sodass_se_fm;begeistern;object;f; m;se; sodass;Anna begeisterte Armin, sodass;er schmunzeln musste.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;992;952;Selected;Anna;Armin
1013;1013;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;79;12;1,56046E+13;2;weil_es_fm;lieben;object;f; m;es; weil;Emma liebte Fritz, weil;er ein liebenswerter Mensch ist.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;578;948;Selected;Emma;Fritz
1014;1014;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;5;12;1,56046E+13;2;sodass_se_mf;amüsieren;object;m; f;se; sodass;Fritz amüsierte Emma, sodass;sie laut auflachen musste.;sinnvoll;eine;so;NP2;Objekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;22;923;Selected;Fritz;Emma
1015;1015;211;2;Experiment;24;female;rechts;70180;72076;Vietnamesisch;nein;female;112;13;1,56046E+13;2;weil_se_mf;langweilen;subject;m; f;se; weil;Jacob langweilte Melanie, weil;er nur von Videospielen redet.;sinnvoll;eine;so;NP1;Subjekt;kongruent;pers;1;nein;ja;ja;bias-kongruente Anapher;biaskongruentes Personalpronomen;Selected;792;959;Selected;Jacob;Melanie
